sysBook,sys,sys,sys
To Kill a Mockingbird,Harper Lee,Fiction,A novel about racial injustice in the American South.
1984,George Orwell,Dystopian,A story about a totalitarian regime and its control over society.
Pride and Prejudice,Jane Austen,Romance,A classic romance in 19th century England.
The Great Gatsby,F. Scott Fitzgerald,Classics,A critique of the American Dream through Jay Gatsby's life.
The Catcher in the Rye,J.D. Salinger,Fiction,A narrative of teenage angst and alienation.
The Hobbit,J.R.R. Tolkien,Fantasy,Bilbo Baggins' adventure to win treasure.
Fahrenheit 451,Ray Bradbury,Dystopian,A future where books are banned and burned.
Moby Dick,Herman Melville,Adventure,Captain Ahab's quest to kill Moby Dick.
War and Peace,Leo Tolstoy,Historical Fiction,Russian society during the Napoleonic Wars.
The Alchemist,Paulo Coelho,Fiction,A shepherd's journey to find treasure.
The Book Thief,Markus Zusak,Historical Fiction,A young girl's life in Nazi Germany.
Jane Eyre,Charlotte Brontë,Gothic,The life and love of Jane Eyre.
The Lord of the Rings,J.R.R. Tolkien,Fantasy,An epic quest to destroy the One Ring.
The Chronicles of Narnia,C.S. Lewis,Fantasy,Adventures in the magical land of Narnia.
The Handmaid's Tale,Margaret Atwood,Dystopian,A future where women are subjugated.
Brave New World,Aldous Huxley,Dystopian,A future society controlled by technology.
Wuthering Heights,Emily Brontë,Gothic,A tale of passion and revenge.
Crime and Punishment,Fyodor Dostoevsky,Psychological Fiction,A student's moral dilemmas after a murder.
The Kite Runner,Khaled Hosseini,Drama,A boy's life in Kabul amidst turmoil.
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,Arthur Dent's comedic space adventures.

